stimulus,colour,congruent,correctresponse,alt1,alt2
blue,blue,1,blue,,
blue,yellow,0,yellow,,
blue,red,0,red,,
blue,green,0,Green,,
yellow,blue,0,blue,,
yellow,yellow,1,yellow,,
yellow,red,0,red,,
yellow,green,0,Green,,
green,blue,0,blue,,
green,yellow,0,yellow,,
green,red,0,red,,
green,green,1,Green,,
red,blue,0,blue,,
red,yellow,0,yellow,,
red,red,1,red,,
red,green,0,Green,,
blue,blue,1,blue,,
blue,yellow,0,yellow,,
blue,red,0,red,,
blue,green,0,Green,,
yellow,blue,0,blue,,
yellow,yellow,1,yellow,,
yellow,red,0,red,,
yellow,green,0,Green,,
green,blue,0,blue,,
green,yellow,0,yellow,,
green,red,0,red,,
green,green,1,Green,,
red,blue,0,blue,,
red,yellow,0,yellow,,
red,red,1,red,,
red,green,0,Green,,
blue,blue,1,blue,,
blue,blue,1,blue,,
blue,blue,1,blue,,
blue,blue,1,blue,,
yellow,yellow,1,yellow,,
yellow,yellow,1,yellow,,
yellow,yellow,1,yellow,,
yellow,yellow,1,yellow,,
green,green,1,Green,,
green,green,1,Green,,
green,green,1,Green,,
green,green,1,Green,,
red,red,1,red,,
red,red,1,red,,
red,red,1,red,,
red,red,1,red,,
